timestamp,conservative_value,aggressive_value,total_value,allocation_pct,pnl_conservative,pnl_aggressive,rebalance_due_in_days,last_skim_date
2025-11-26T22:42:57.617471+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-26T22:48:02.741837+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-26T22:53:07.627291+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-26T22:58:12.460700+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-26T23:03:17.173662+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-26T23:08:21.856288+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-26T23:13:26.674561+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-26T23:18:31.713365+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-26T23:23:36.625222+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-26T23:28:41.491201+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-26T23:33:46.278408+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-26T23:38:51.015699+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-26T23:43:55.929799+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-26T23:49:01.139912+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-26T23:54:05.966303+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-26T23:59:10.636531+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T00:04:15.826624+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T00:09:20.657453+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T00:14:25.505090+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T00:19:30.795836+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T00:24:35.672687+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T00:29:40.746723+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T00:34:46.797832+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T00:39:51.577247+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T00:44:56.367209+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T00:50:01.230644+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T00:55:05.992789+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T01:00:11.525469+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T01:05:16.266932+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T01:10:20.994853+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T01:15:25.945967+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T01:20:31.252379+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T01:25:36.023547+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T01:30:41.340182+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T01:35:46.217138+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T01:40:51.194156+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T01:45:56.065075+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T01:51:00.835680+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T01:56:06.240737+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T02:01:12.384621+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T02:06:18.651432+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T02:11:23.480429+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T02:16:28.247303+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T02:21:32.962139+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T02:26:37.782638+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T02:31:42.505732+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T02:36:47.261797+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T02:41:52.021360+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T02:46:57.081486+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T02:52:01.863000+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T02:57:06.594755+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T03:02:11.419184+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T03:07:17.152007+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T03:12:22.067775+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T03:17:26.953412+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T03:22:31.756606+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T03:27:37.222940+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T03:32:42.021492+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T03:37:47.178935+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T03:42:52.974513+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T03:47:57.901524+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T03:53:02.977162+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T03:58:08.591039+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T04:03:13.415483+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T04:08:18.210275+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T04:13:23.025927+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T04:18:27.868875+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T04:23:32.655851+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T04:28:37.517423+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T04:33:42.380456+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T04:38:47.256377+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T04:43:51.997845+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T04:48:56.802861+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T04:54:01.646441+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T04:59:06.489231+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T05:04:11.986741+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T05:09:16.740298+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T05:14:21.375237+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T05:19:26.069633+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T05:24:30.785598+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T05:29:35.517645+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T05:34:40.225400+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T05:39:44.963906+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T05:44:49.744639+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T05:49:54.478479+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T05:54:59.166717+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T06:00:06.173697+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T06:05:10.911540+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T06:10:15.603071+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T06:15:20.362321+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T06:20:25.014003+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T06:25:29.696872+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T06:30:34.422128+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T06:35:39.128259+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T06:40:45.806117+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T06:45:50.511403+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T06:50:55.222338+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T06:55:59.925268+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T07:01:04.609304+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T07:06:12.495250+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T07:11:17.256307+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T07:16:24.627114+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T07:21:30.647450+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T07:26:35.472908+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T07:27:30.195126+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T07:30:13.570754+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T08:07:11.861287+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T08:10:09.377457+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T08:15:14.037444+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T08:20:18.808843+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T08:25:23.489486+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T08:30:29.228939+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T08:35:33.929074+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T08:40:38.610122+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T08:45:43.305986+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T08:50:48.576514+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T08:55:53.630088+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T09:00:58.824934+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T09:06:03.551005+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T09:11:08.203345+00:00,7000.0,3000.0,10000,0,0,0,90,
2025-11-27T09:16:13.187090+00:00,7000.0,3000.0,10000,0,0,0,90,
