timestamp,strategy,coin,signal,rsi,ema_fast,ema_slow,atr,price,volume,trigger_met,blocked_reason
2025-11-26T23:28:40.477274+00:00,aggressive,AVAX-USD,HOLD,50,14.84,14.84,0,14.84,0,False,demo_mode
2025-11-26T23:28:41.489698+00:00,aggressive,DOGE-USD,HOLD,50,0.1546,0.1546,0,0.1546,0,False,demo_mode
2025-11-26T23:33:42.321441+00:00,conservative,BTC-USD,HOLD,50,90378.84,90378.84,0,90378.84,0,False,demo_mode
2025-11-26T23:33:43.296409+00:00,conservative,ETH-USD,HOLD,50,3021.19,3021.19,0,3021.19,0,False,demo_mode
2025-11-26T23:33:44.318448+00:00,aggressive,SOL-USD,HOLD,50,142.65,142.65,0,142.65,0,False,demo_mode
2025-11-26T23:33:45.274362+00:00,aggressive,AVAX-USD,HOLD,50,14.84,14.84,0,14.84,0,False,demo_mode
2025-11-26T23:33:46.278408+00:00,aggressive,DOGE-USD,HOLD,50,0.1545,0.1545,0,0.1545,0,False,demo_mode
2025-11-26T23:38:47.056194+00:00,conservative,BTC-USD,HOLD,50,90345.25,90345.25,0,90345.25,0,False,demo_mode
2025-11-26T23:38:48.039198+00:00,conservative,ETH-USD,HOLD,50,3019.98,3019.98,0,3019.98,0,False,demo_mode
2025-11-26T23:38:49.094078+00:00,aggressive,SOL-USD,HOLD,50,142.54,142.54,0,142.54,0,False,demo_mode
2025-11-26T23:38:50.045655+00:00,aggressive,AVAX-USD,HOLD,50,14.85,14.85,0,14.85,0,False,demo_mode
2025-11-26T23:38:51.015194+00:00,aggressive,DOGE-USD,HOLD,50,0.1543,0.1543,0,0.1543,0,False,demo_mode
2025-11-26T23:43:52.139117+00:00,conservative,BTC-USD,HOLD,50,90423.53,90423.53,0,90423.53,0,False,demo_mode
2025-11-26T23:43:52.910179+00:00,conservative,ETH-USD,HOLD,50,3021.68,3021.68,0,3021.68,0,False,demo_mode
2025-11-26T23:43:53.926134+00:00,aggressive,SOL-USD,HOLD,50,142.83,142.83,0,142.83,0,False,demo_mode
2025-11-26T23:43:54.950043+00:00,aggressive,AVAX-USD,HOLD,50,14.9,14.9,0,14.9,0,False,demo_mode
2025-11-26T23:43:55.928799+00:00,aggressive,DOGE-USD,HOLD,50,0.1546,0.1546,0,0.1546,0,False,demo_mode
2025-11-26T23:48:56.783849+00:00,conservative,BTC-USD,HOLD,50,90535.0,90535.0,0,90535.0,0,False,demo_mode
2025-11-26T23:48:57.740140+00:00,conservative,ETH-USD,HOLD,50,3027.38,3027.38,0,3027.38,0,False,demo_mode
2025-11-26T23:48:58.750170+00:00,aggressive,SOL-USD,HOLD,50,142.93,142.93,0,142.93,0,False,demo_mode
2025-11-26T23:49:00.292708+00:00,aggressive,AVAX-USD,HOLD,50,14.91,14.91,0,14.91,0,False,demo_mode
2025-11-26T23:49:01.139413+00:00,aggressive,DOGE-USD,HOLD,50,0.1548,0.1548,0,0.1548,0,False,demo_mode
2025-11-26T23:54:01.929955+00:00,conservative,BTC-USD,HOLD,50,90551.13,90551.13,0,90551.13,0,False,demo_mode
2025-11-26T23:54:02.918378+00:00,conservative,ETH-USD,HOLD,50,3029.34,3029.34,0,3029.34,0,False,demo_mode
